AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
45-49 years,Female,Frankston,Tertiary - University or other higher education,Education,35
45-49 years,Female,Frankston,Tertiary - University or other higher education,Management and Commerce,27
45-49 years,Female,Frankston,Tertiary - University or other higher education,Society and Culture,30
45-49 years,Female,Frankston,Tertiary - University or other higher education,Creative Arts,8
45-49 years,Female,Frankston,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",7
45-49 years,Female,Frankston,Tertiary - University or other higher education,Field of study not stated,4
45-49 years,Female,Frankston,Tertiary - University or other higher education,Not applicable,13
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Health,12
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Education,7
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,27
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,21
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
45-49 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,17
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Natural and Physical Sciences,7
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Information Technology,4
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Engineering and Related Technologies,4
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Architecture and Building,4
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Health,27
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Education,27
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Management and Commerce,33
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Society and Culture,41
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Creative Arts,6
45-49 years,Female,Glen Eira,Tertiary - University or other higher education,Not applicable,10
45-49 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
45-49 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Health,3
45-49 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6
45-49 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,9
45-49 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,4
45-49 years,Female,Glenelg,Tertiary - University or other higher education,Health,5
45-49 years,Female,Glenelg,Tertiary - University or other higher education,Education,6
45-49 years,Female,Glenelg,Tertiary - University or other higher education,Society and Culture,6
45-49 years,Female,Glenelg,Tertiary - University or other higher education,Creative Arts,3
45-49 years,Female,Glenelg,Tertiary - University or other higher education,Not applicable,3
45-49 years,Female,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Health,4
45-49 years,Female,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8
45-49 years,Female,Golden Plains,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",6
45-49 years,Female,Golden Plains,Tertiary - University or other higher education,Health,5
45-49 years,Female,Golden Plains,Tertiary - University or other higher education,Education,4
45-49 years,Female,Golden Plains,Tertiary - University or other higher education,Management and Commerce,6
45-49 years,Female,Golden Plains,Tertiary - University or other higher education,Society and Culture,8
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Health,12
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Education,8
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,16
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,21
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6
45-49 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,24
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Natural and Physical Sciences,4
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Health,49
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Education,6
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Management and Commerce,19
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Society and Culture,24
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Creative Arts,5
45-49 years,Female,Greater Bendigo,Tertiary - University or other higher education,Not applicable,10
45-49 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3
