AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",14,324424.343,5825739.263
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4,325892.001,5819099.947
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,5,324444.711,5824640.707
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,28,325181.771,5826153.799
40-44 years,Female,Darebin,Tertiary - University or other higher education,Natural and Physical Sciences,8,323761.046,5824083.579
40-44 years,Female,Darebin,Tertiary - University or other higher education,Information Technology,11,324286.699,5824710.555
40-44 years,Female,Darebin,Tertiary - University or other higher education,Engineering and Related Technologies,9,325930.175,5820287.2
40-44 years,Female,Darebin,Tertiary - University or other higher education,Architecture and Building,3,327136.88,5824072.407
40-44 years,Female,Darebin,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",11,329012.982,5819236.473
40-44 years,Female,Darebin,Tertiary - University or other higher education,Health,55,329012.982,5823243.64
40-44 years,Female,Darebin,Tertiary - University or other higher education,Education,34,323114.277,5822795.247
40-44 years,Female,Darebin,Tertiary - University or other higher education,Management and Commerce,50,326641.49,5817140.399
40-44 years,Female,Darebin,Tertiary - University or other higher education,Society and Culture,74,323375.595,5823298.613
40-44 years,Female,Darebin,Tertiary - University or other higher education,Creative Arts,37,324228.803,5824477.078
40-44 years,Female,Darebin,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",7,323749.62,5823653.379
40-44 years,Female,Darebin,Tertiary - University or other higher education,Field of study inadequately described,3,324424.343,5821708.448
40-44 years,Female,Darebin,Tertiary - University or other higher education,Field of study not stated,3,323695.821,5823877.043
40-44 years,Female,Darebin,Tertiary - University or other higher education,Not applicable,13,324279.008,5823789.352
40-44 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Health,9,558499.897,5830462.396
40-44 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Education,5,541350.523,5905453.255
40-44 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,12,616938.913,5801129.305
40-44 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,12,682202.252,5940474.859
40-44 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,16,573082.615,5865792.723
40-44 years,Female,East Gippsland,Tertiary - University or other higher education,Health,15,616938.913,5910164.477
40-44 years,Female,East Gippsland,Tertiary - University or other higher education,Education,3,671191.834,5827381.22
40-44 years,Female,East Gippsland,Tertiary - University or other higher education,Management and Commerce,7,756234.791,5837119.856
40-44 years,Female,East Gippsland,Tertiary - University or other higher education,Society and Culture,10,557827.136,5837987.449
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5,343404.223,5784255.807
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,341596.771,5773831.413
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",6,342865.274,5780980.417
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Health,15,341251.03,5783019.991
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Education,8,339534.64,5773022.165
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,39,342237.482,5771738.547
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,40,339877.026,5772794.409
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6,336800.698,5778451.504
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5,336935.077,5777255.193
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3,342237.482,5772707.115
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,338263.82,5779021.163
40-44 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,37,338263.82,5781152.807
40-44 years,Female,Frankston,Tertiary - University or other higher education,Natural and Physical Sciences,8,339606.356,5774993.335
40-44 years,Female,Frankston,Tertiary - University or other higher education,Information Technology,3,341596.771,5781630.16
40-44 years,Female,Frankston,Tertiary - University or other higher education,Engineering and Related Technologies,5,340308.297,5773912.561
40-44 years,Female,Frankston,Tertiary - University or other higher education,Health,54,337009.334,5778604.26
40-44 years,Female,Frankston,Tertiary - University or other higher education,Education,27,340172.218,5775119.051
40-44 years,Female,Frankston,Tertiary - University or other higher education,Management and Commerce,27,341028.059,5777405.008
40-44 years,Female,Frankston,Tertiary - University or other higher education,Society and Culture,36,333871.374,5775119.051
40-44 years,Female,Frankston,Tertiary - University or other higher education,Creative Arts,4,339606.356,5780809.729
40-44 years,Female,Frankston,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",12,341977.055,5775195.129
40-44 years,Female,Frankston,Tertiary - University or other higher education,Field of study inadequately described,3,342062.942,5781204.475
40-44 years,Female,Frankston,Tertiary - University or other higher education,Not applicable,14,336935.077,5777761.872
40-44 years,Female,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Health,3,231227.311,6051331.696
40-44 years,Female,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,260146.45,6052100.955
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,328710.927,5806998.351
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9,330412.793,5804118.071
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,7,330200.962,5800838.155
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Health,9,325654.871,5804603.098
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Education,11,326130.181,5803870.737
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,39,327591.199,5804456.509
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,27,330269.248,5802784.888
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5,325057.692,5806730.059
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9,326960.64,5800705.324
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4,325867.841,5801182.011
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,330751.164,5802784.888
40-44 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,19,329064.204,5803294.291
